Unnamed: 0,datetime,source,url,title,content
161,2021-06-15,phi.ruc.edu.cn,http://www.phys.ruc.edu.cn/index.php?c=show&id=453,师兄师姐，我想对你说……（二）,
73,2020-08-05,phi.ruc.edu.cn,http://www.phys.ruc.edu.cn/index.php?c=show&id=483,二维材料中的磁性,报告题目：二维材料中的磁性，欢迎大家参加。以下是预订的zoom会议ID报告时间：2020年8月5日01:50下午北京
106,2020-07-29,phi.ruc.edu.cn,http://www.phys.ruc.edu.cn/index.php?c=show&id=482,超冷原子中的时空对称性与新型相互作用调控,报告题目：超冷原子中的时空对称性与新型相互作用调控
136,2020-07-22,phi.ruc.edu.cn,http://www.phys.ruc.edu.cn/index.php?c=show&id=480,强关联系统的代数运动方程理论,报告题目：强关联系统的代数运动方程理论
183,2020-07-22,phi.ruc.edu.cn,http://www.phys.ruc.edu.cn/index.php?c=show&id=481,中国人民大学物理学系张芃教授报告视频-来人大学物理的四个理由,
13,2020-07-20,phi.ruc.edu.cn,http://www.phys.ruc.edu.cn/index.php?c=show&id=467,《师兄师姐寄语》之八-2009级本科毕业生王雪龙,
62,2020-07-20,phi.ruc.edu.cn,http://www.phys.ruc.edu.cn/index.php?c=show&id=468,走进人大物理系 拥抱大海星辰,疫情的阴霾阻挡不了莺飞草长，更阻挡不了青春飞扬，又一批莘莘学子重回校园，为即将到来的高考秣马厉兵，作为近年来最为特殊的一批考生，相信你们已整装待发，祝愿大家金榜题名，马到功成！
112,2020-07-20,phi.ruc.edu.cn,http://www.phys.ruc.edu.cn/index.php?c=show&id=469,《师兄师姐寄语》之九-2007级本科毕业生陈晓萱,
18,2020-07-20,phi.ruc.edu.cn,http://www.phys.ruc.edu.cn/index.php?c=show&id=470,《师兄师姐寄语》之十-2010级本科毕业生谢丽虹,
197,2020-07-20,phi.ruc.edu.cn,http://www.phys.ruc.edu.cn/index.php?c=show&id=466,《师兄师姐寄语》之七-2012级本科毕业生周慧珺,周慧珺，物理学系2012级本科毕业生。毕业后，进入北京大学经济系攻读经济学博士学位。
