,datetime,source,url,title,content
145,2018/6/15,chem.ruc.edu.cn,http://chem.ruc.edu.cn/xsfz/xydt/96a521a6bfaa4aa396795af1e2ece229.htm,我系2006级硕士生冯训达入职东华大学,冯训达2009年获我系硕士学位，2013年获哥廷根大学物理系博士学位，随后在耶鲁大学进行博士后研究，于2018年6月入职东华大学先进低维材料中心特聘研究员。其研究围绕软物质（高分子、液晶、胶体）结构、动态、功能、聚合物纳米图样化、非传统聚合物水处理膜的开发、用于软物质科学研究的X-射线散射技术等展开。
146,2018/6/5,chem.ruc.edu.cn,http://chem.ruc.edu.cn/ywsy/LECTURE/Inschool/246e23e34a7b4c2fad93143b0c7f485c.htm,Stable Carbenes and Related Species as Powerful Tools,
147,2018/6/5,chem.ruc.edu.cn,http://chem.ruc.edu.cn/ywsy/LECTURE/Inschool/873243c399194fcc8284492dc1fd8659.htm,Electrocatalysis for Energy and Electrosynthesis,
148,2018/5/30,chem.ruc.edu.cn,http://chem.ruc.edu.cn/xsjl/xn/f7776c0b211249eeb5969ca0e6d1b60d.htm,Electrocatalysis for Energy and Electrosynthesis,
149,2018/5/30,chem.ruc.edu.cn,http://chem.ruc.edu.cn/xsjl/xn/5927259dec9447e5be2e919ea15863a4.htm,Stable Carbenes and Related Species as Powerful Tools,
150,2018/5/29,chem.ruc.edu.cn,http://chem.ruc.edu.cn/tzgg/zsdt/10279cbd17de456895ea25b0d587160b.htm,化学系2018年拟录取博士研究生名单,
151,2018/5/15,chem.ruc.edu.cn,http://chem.ruc.edu.cn/xsjl/xn/ec755f77ca03440e9d54a79c11ac4ff8.htm,New Reactivity Modes of Nitrones and Hydroxylamines,
152,2018/5/15,chem.ruc.edu.cn,http://chem.ruc.edu.cn/tzgg/zsdt/a6096b6c7da74337a35dfbfb70503442.htm,第七届全国优秀大学生化学暑期学校招生简章,"中国人民大学化学系成立于2004年7月。在短短十几年的时间内已发展成为一个“小、精、尖”型的化学系（关于导师及其研究方向，请浏览我系主页：http://chem.ruc.edu.cn）。化学系现设有一个化学本科专业,拥有化学硕士一级学科，并设有物理化学、无机化学、有机化学、分析化学和高分子化学五个硕士培养方向；从2008年开始以化学专业学科招收博士生。从2012年开始招收直博生。"
153,2018/4/28,chem.ruc.edu.cn,http://chem.ruc.edu.cn/tzgg/zsdt/5358e09ee94445379ddde95fb69660c7.htm,化学系2018年博士生复试成绩公示,
154,2018/4/13,chem.ruc.edu.cn,http://chem.ruc.edu.cn/tzgg/zsdt/95c40b0f03cd4d129af27efe42db78df.htm,2018年化学系申请审核制博士生复试办法及复试名单,
155,2018/4/12,chem.ruc.edu.cn,http://chem.ruc.edu.cn/xsjl/xn/38e5f834fe144b9abaa92c34b7a86c9d.htm,"Ultrafast dynamics in molecules, SURMOF, organic  crystals, graphene",
156,2018/4/12,chem.ruc.edu.cn,http://chem.ruc.edu.cn/xsjl/xn/bfecb065ae5a4129908d8233e921f3c1.htm,Ultrafast Electron Transfer for Energy and the  Environment,
157,2018/4/10,chem.ruc.edu.cn,http://chem.ruc.edu.cn/xsjl/xn/50f5c9de51c84dad8a22ba1fefd4de4c.htm,Wiley科技论文的写作与发表,
